Date,Day,NetWorth,Cash,Shares
2019-09-05,191,8484.86477196746,1823.49734040299,17.0472091093369
2019-09-06,192,8506.00331126304,1823.49734040299,17.0472091093369
2019-09-09,193,8577.09017324898,1823.49734040299,17.0472091093369
2019-09-11,194,8570.61223378743,8570.61223378743,0
2019-09-12,195,8570.61223378743,8570.61223378743,0
2019-09-13,196,8570.61223378743,8570.61223378743,0
2019-09-16,197,8570.61223378743,8570.61223378743,0
2019-09-17,198,8570.61223378743,8570.61223378743,0
2019-09-18,199,8570.61223378743,8570.61223378743,0
2019-09-19,200,8570.61223378743,8570.61223378743,0
2019-09-20,201,8570.61223378743,8570.61223378743,0
2019-09-23,202,8570.61223378743,8570.61223378743,0
2019-09-24,203,8570.61223378743,8570.61223378743,0
2019-09-25,204,8570.61223378743,8570.61223378743,0
2019-09-26,205,8570.61223378743,8570.61223378743,0
2019-09-27,206,8570.61223378743,8570.61223378743,0
2019-09-30,207,8570.61223378743,8570.61223378743,0
2019-10-01,208,8570.61223378743,8570.61223378743,0
2019-10-03,209,8570.61223378743,8570.61223378743,0
2019-10-04,210,8570.61223378743,8570.61223378743,0
2019-10-07,211,8570.61223378743,8570.61223378743,0
2019-10-09,212,8570.61223378743,8570.61223378743,0
2019-10-10,213,8570.61223378743,8570.61223378743,0
2019-10-11,214,8570.61223378743,8570.61223378743,0
2019-10-14,215,8570.61223378743,8570.61223378743,0
2019-10-15,216,8570.61223378743,8570.61223378743,0
2019-10-16,217,8570.61223378743,8570.61223378743,0
2019-10-17,218,8570.61223378743,8570.61223378743,0
2019-10-18,219,8570.61223378743,8570.61223378743,0
2019-10-22,220,8570.61223378743,8570.61223378743,0
2019-10-23,221,8570.61223378743,8570.61223378743,0
2019-10-24,222,8570.61223378743,8570.61223378743,0
2019-10-25,223,8570.61223378743,8570.61223378743,0
2019-10-27,224,8570.61223378743,8570.61223378743,0
2019-10-29,225,8570.61223378743,8570.61223378743,0
2019-10-30,226,8570.61223378743,8570.61223378743,0
2019-10-31,227,8570.61223378743,8570.61223378743,0
2019-11-01,228,8570.61223378743,8570.61223378743,0
2019-11-04,229,8570.61223378743,8570.61223378743,0
2019-11-05,230,8570.61223378743,8570.61223378743,0
2019-11-06,231,8570.61223378743,8570.61223378743,0
2019-11-07,232,8570.61223378743,8570.61223378743,0
2019-11-08,233,8570.61223378743,8570.61223378743,0
2019-11-11,234,8570.61223378743,8570.61223378743,0
2019-11-13,235,8570.61223378743,8570.61223378743,0
2019-11-14,236,8570.61223378743,8570.61223378743,0
2019-11-15,237,8570.61223378743,8570.61223378743,0
2019-11-18,238,8570.61223378743,8570.61223378743,0
2019-11-19,239,8570.61223378743,8570.61223378743,0
2019-11-20,240,8570.61223378743,8570.61223378743,0
2019-11-21,241,8570.61223378743,8570.61223378743,0
2019-11-22,242,8570.61223378743,8570.61223378743,0
2019-11-25,243,8570.61223378743,8570.61223378743,0
2019-11-26,244,8570.61223378743,8570.61223378743,0
2019-11-27,245,8570.61223378743,8570.61223378743,0
2019-11-28,246,8570.61223378743,8570.61223378743,0
2019-11-29,247,8570.61223378743,8570.61223378743,0
2019-12-02,248,8570.61223378743,8570.61223378743,0
2019-12-03,249,8570.61223378743,8570.61223378743,0
2019-12-04,250,8570.61223378743,8570.61223378743,0
2019-12-05,251,8570.61223378743,8570.61223378743,0
2019-12-06,252,8570.61223378743,8570.61223378743,0
2019-12-09,253,8570.61223378743,8570.61223378743,0
2019-12-10,254,8570.61223378743,8570.61223378743,0
2019-12-11,255,8570.61223378743,8570.61223378743,0
2019-12-12,256,8570.61223378743,8570.61223378743,0
2019-12-13,257,8570.61223378743,8570.61223378743,0
2019-12-16,258,8570.61223378743,8570.61223378743,0
2019-12-17,259,8570.61223378743,8570.61223378743,0
2019-12-18,260,8570.61223378743,8570.61223378743,0
2019-12-19,261,8570.61223378743,8570.61223378743,0
2019-12-20,262,8570.61223378743,8570.61223378743,0
2019-12-23,263,8570.61223378743,8570.61223378743,0
2019-12-24,264,8570.61223378743,8570.61223378743,0
2019-12-26,265,8570.61223378743,8570.61223378743,0
2019-12-27,266,8570.61223378743,8570.61223378743,0
2019-12-30,267,8570.61223378743,8570.61223378743,0
2019-12-31,268,8570.61223378743,8570.61223378743,0
2020-01-01,269,8570.61223378743,8570.61223378743,0
2020-01-02,270,8570.61223378743,8570.61223378743,0
2020-01-03,271,8570.61223378743,8570.61223378743,0
2020-01-06,272,8570.61223378743,8570.61223378743,0
2020-01-07,273,8570.61223378743,8570.61223378743,0
2020-01-08,274,8570.61223378743,8570.61223378743,0
2020-01-09,275,8570.61223378743,8570.61223378743,0
2020-01-10,276,8570.61223378743,8570.61223378743,0
2020-01-13,277,8570.61223378743,8570.61223378743,0
2020-01-14,278,8570.61223378743,1714.12244675748,12.7819428563997
2020-01-15,279,8529.58219721839,1714.12244675748,12.7819428563997
2020-01-16,280,8571.76260864451,1714.12244675748,12.7819428563997
2020-01-17,281,8546.96563950309,1714.12244675748,12.7819428563997
2020-01-20,282,8590.29642578628,1714.12244675748,12.7819428563997
2020-01-21,283,8554.3791663598,1714.12244675748,12.7819428563997
2020-01-22,284,8434.10108408108,1714.12244675748,12.7819428563997
2020-01-23,285,8425.79282122442,1714.12244675748,12.7819428563997
2020-01-24,286,8517.56717093337,1714.12244675748,12.7819428563997
2020-01-27,287,8622.12346349872,1714.12244675748,12.7819428563997
2020-01-28,288,8537.37918236079,1714.12244675748,12.7819428563997
2020-01-29,289,8491.23636864919,1714.12244675748,12.7819428563997
2020-01-30,290,8470.65744065038,1714.12244675748,12.7819428563997
2020-01-31,291,8455.95820636552,1714.12244675748,12.7819428563997
2020-02-01,292,8302.06361437447,8302.06361437447,0
2020-02-03,293,8302.06361437447,8302.06361437447,0
2020-02-04,294,8302.06361437447,8302.06361437447,0
2020-02-05,295,8302.06361437447,8302.06361437447,0
2020-02-06,296,8302.06361437447,8302.06361437447,0
2020-02-07,297,8302.06361437447,8302.06361437447,0
2020-02-10,298,8302.06361437447,8302.06361437447,0
2020-02-11,299,8302.06361437447,8302.06361437447,0
2020-02-12,300,8302.06361437447,8302.06361437447,0
2020-02-13,301,8302.06361437447,1660.41272287489,12.2487706167117
2020-02-14,302,8328.7659343189,1660.41272287489,12.2487706167117
2020-02-17,303,8297.40908154012,1660.41272287489,12.2487706167117
2020-02-18,304,8274.87134360537,1660.41272287489,12.2487706167117
2020-02-19,305,8319.0894055317,1660.41272287489,12.2487706167117
2020-02-20,306,8352.89601243382,1660.41272287489,12.2487706167117
2020-02-24,307,8202.48110926061,1660.41272287489,12.2487706167117
2020-02-25,308,8183.00556398003,1660.41272287489,12.2487706167117
2020-02-26,309,8095.18187865821,1660.41272287489,12.2487706167117
2020-02-27,310,7977.22621761928,1660.41272287489,12.2487706167117
2020-02-28,311,7774.38657620653,1660.41272287489,12.2487706167117
2020-03-02,312,7954.07604115369,1660.41272287489,12.2487706167117
2020-03-03,313,7962.77266829156,1660.41272287489,12.2487706167117
2020-03-04,314,7857.80070410634,1660.41272287489,12.2487706167117
2020-03-05,315,7857.31075328167,1660.41272287489,12.2487706167117
2020-03-06,316,7624.58411156415,1660.41272287489,12.2487706167117
2020-03-09,317,7287.13048107374,1660.41272287489,12.2487706167117
2020-03-11,318,7359.39822771234,1660.41272287489,12.2487706167117
2020-03-12,319,6970.98971145641,1660.41272287489,12.2487706167117
2020-03-13,320,6973.19449016742,1660.41272287489,12.2487706167117
2020-03-16,321,6679.46897077867,1660.41272287489,12.2487706167117
2020-03-17,322,6421.99981241539,1660.41272287489,12.2487706167117
2020-03-18,323,6027.58939855728,1660.41272287489,12.2487706167117
2020-03-19,324,5836.75355234891,1660.41272287489,12.2487706167117
2020-03-20,325,5848.63485984712,1660.41272287489,12.2487706167117
2020-03-23,326,5229.45950517234,1660.41272287489,12.2487706167117
2020-03-24,327,5205.57440246976,1660.41272287489,12.2487706167117
2020-03-25,328,5417.96808496354,1660.41272287489,12.2487706167117
2020-03-26,329,5822.17751531502,1660.41272287489,12.2487706167117
2020-03-27,330,5856.84153616032,1660.41272287489,12.2487706167117
2020-03-30,331,5629.38186580798,1660.41272287489,12.2487706167117
2020-03-31,332,5644.81531678504,1660.41272287489,12.2487706167117
2020-04-01,333,5508.9764506457,1660.41272287489,12.2487706167117
2020-04-03,334,5235.09393965603,1660.41272287489,12.2487706167117
2020-04-07,335,5484.60139711845,1660.41272287489,12.2487706167117
2020-04-08,336,5688.66591559287,1660.41272287489,12.2487706167117
2020-04-09,337,5766.81307212749,1660.41272287489,12.2487706167117
2020-04-13,338,5771.10014184334,1660.41272287489,12.2487706167117
2020-04-15,339,5827.81194979871,1660.41272287489,12.2487706167117
2020-04-16,340,5774.52979761601,1660.41272287489,12.2487706167117
2020-04-17,341,6086.01603439899,1660.41272287489,12.2487706167117
2020-04-20,342,6197.7248224234,1660.41272287489,12.2487706167117
2020-04-21,343,5775.14223614685,1660.41272287489,12.2487706167117
2020-04-22,344,5712.18355517695,1660.41272287489,12.2487706167117
2020-04-23,345,5916.61553676987,1660.41272287489,12.2487706167117
2020-04-24,346,5788.3709084129,1660.41272287489,12.2487706167117
2020-04-27,347,5902.77442597299,1660.41272287489,12.2487706167117
2020-04-28,348,6035.67358716431,1660.41272287489,12.2487706167117
2020-04-29,349,6126.06951431564,1660.41272287489,12.2487706167117
2020-04-30,350,6364.30810281068,1660.41272287489,12.2487706167117
2020-05-04,351,5874.72474126072,1660.41272287489,12.2487706167117
2020-05-05,352,5824.01483090753,1660.41272287489,12.2487706167117
2020-05-06,353,5806.49908892563,1660.41272287489,12.2487706167117
2020-05-07,354,5802.33450691595,1660.41272287489,12.2487706167117
2020-05-08,355,5889.79072911927,1660.41272287489,12.2487706167117
2020-05-11,356,5691.48313283471,1660.41272287489,12.2487706167117
2020-05-12,357,5516.0807376034,1660.41272287489,12.2487706167117
2020-05-13,358,5830.87414245289,1660.41272287489,12.2487706167117
2020-05-14,359,5688.42094018053,1660.41272287489,12.2487706167117
2020-05-15,360,5600.35227944638,1660.41272287489,12.2487706167117
2020-05-18,361,5349.12999409762,1660.41272287489,12.2487706167117
2020-05-19,362,5383.18157641208,1660.41272287489,12.2487706167117
2020-05-20,363,5371.30026891387,1660.41272287489,12.2487706167117
2020-05-21,364,5432.29914658509,1660.41272287489,12.2487706167117
2020-05-22,365,5243.91305450006,5243.91305450006,0
2020-05-26,366,5243.91305450006,5243.91305450006,0
2020-05-27,367,5243.91305450006,5243.91305450006,0
2020-05-28,368,5243.91305450006,5243.91305450006,0
2020-05-29,369,5243.91305450006,5243.91305450006,0
2020-06-01,370,5243.91305450006,5243.91305450006,0
2020-06-02,371,5243.91305450006,5243.91305450006,0
2020-06-03,372,5243.91305450006,5243.91305450006,0
2020-06-04,373,5243.91305450006,5243.91305450006,0
2020-06-05,374,5243.91305450006,5243.91305450006,0
2020-06-08,375,5243.91305450006,5243.91305450006,0
2020-06-09,376,5243.91305450006,5243.91305450006,0
